Time,계정명,당기금액
2015,유동자산,"124,814,725,000,000"
2015,비유동자산,"117,364,796,000,000"
2015,자산총계,"242,179,521,000,000"
2015,유동부채,"50,502,909,000,000"
2015,비유동부채,"12,616,807,000,000"
2015,부채총계,"63,119,716,000,000"
2015,이익잉여금,"185,132,014,000,000"
2015,자본총계,"179,059,805,000,000"
2015,매출액,"200,653,482,000,000"
2015,영업이익,"26,413,442,000,000"
2015,법인세차감전 순이익,"25,960,995,000,000"
2015,당기순이익,"19,060,144,000,000"
2015,유동자산,"67,002,055,000,000"
2015,비유동자산,"101,967,575,000,000"
2015,자산총계,"168,969,630,000,000"
2015,유동부채,"29,630,488,000,000"
2015,비유동부채,"2,910,887,000,000"
2015,부채총계,"32,541,375,000,000"
2015,이익잉여금,"143,629,177,000,000"
2015,자본총계,"136,428,255,000,000"
2015,매출액,"135,205,045,000,000"
2015,영업이익,"13,398,215,000,000"
2015,법인세차감전 순이익,"14,352,617,000,000"
2015,당기순이익,"12,238,469,000,000"
2015,유동자산,"67,529,210,000,000"
2015,비유동자산,"97,838,736,000,000"
2015,자산총계,"165,367,946,000,000"
2015,유동부채,"41,213,520,000,000"
2015,비유동부채,"57,273,025,000,000"
2015,부채총계,"98,486,545,000,000"
2015,자본총계,"66,881,401,000,000"
2015,매출액,"91,958,736,000,000"
2015,영업이익,"6,357,906,000,000"
2015,법인세차감전 순이익,"8,459,373,000,000"
2015,당기순이익,"6,509,165,000,000"
2015,유동자산,"22,098,375,000,000"
2015,비유동자산,"44,879,849,000,000"
2015,자산총계,"66,978,224,000,000"
2015,유동부채,"12,173,086,000,000"
2015,비유동부채,"5,108,374,000,000"
2015,부채총계,"17,281,460,000,000"
2015,이익잉여금,"45,405,798,000,000"
2015,자본총계,"49,696,764,000,000"
2015,매출액,"44,439,694,000,000"
2015,영업이익,"4,267,256,000,000"
2015,법인세차감전 순이익,"6,680,063,000,000"
2015,당기순이익,"5,435,485,000,000"
2015,유동자산,"9,760,030,000,000"
2015,비유동자산,"19,917,876,000,000"
2015,자산총계,"29,677,906,000,000"
2015,유동부채,"4,840,698,000,000"
2015,비유동부채,"3,449,505,000,000"
2015,부채총계,"8,290,203,000,000"
2015,이익잉여금,"14,358,988,000,000"
2015,자본총계,"21,387,703,000,000"
2015,매출액,"18,797,998,000,000"
2015,영업이익,"5,336,100,000,000"
2015,법인세차감전 순이익,"5,269,121,000,000"
2015,당기순이익,"4,323,595,000,000"
2015,유동자산,"8,421,984,000,000"
2015,비유동자산,"20,320,214,000,000"
2015,자산총계,"28,742,198,000,000"
2015,유동부채,"4,750,892,000,000"
2015,비유동부채,"3,308,841,000,000"
2015,부채총계,"8,059,733,000,000"
2015,이익잉여금,"13,614,710,000,000"
2015,자본총계,"20,682,465,000,000"
2015,매출액,"18,780,792,000,000"
2015,영업이익,"5,076,507,000,000"
2015,법인세차감전 순이익,"5,002,479,000,000"
2015,당기순이익,"4,019,080,000,000"
2015,유동자산,"22,025,325,000,000"
2015,비유동자산,"153,232,034,000,000"
2015,자산총계,"175,257,359,000,000"
2015,유동부채,"22,710,842,000,000"
2015,비유동부채,"84,604,042,000,000"
2015,부채총계,"107,314,884,000,000"
2015,자본금,"3,209,820,000,000"
2015,이익잉여금,"48,187,241,000,000"
2015,자본총계,"67,942,475,000,000"
2015,매출액,"58,957,722,000,000"
2015,영업이익,"11,346,732,000,000"
2015,법인세차감전 순이익,"18,655,786,000,000"
2015,당기순이익,"13,416,373,000,000"
2015,유동자산,"13,948,785,000,000"
2015,비유동자산,"92,357,465,000,000"
2015,자산총계,"106,306,250,000,000"
2015,유동부채,"18,971,673,000,000"
2015,비유동부채,"34,153,209,000,000"
2015,부채총계,"53,124,882,000,000"
